Characteristics,n (%),CD133,,,CD47,,,PD-L1,,,,P*
,,High,Low,P*,High,Low,P*,High,Moderate,Low,Negative,
Age (years mean±SD),50.37±10,,,,,,,,,,, 
< 50,24 (47.1),12 (23.5),12 (23.5),0.692,14 (27.5),10 (19.6),0.234,1 (2),3 (5.9),6 (11.8),14 (27.5),0.645
> 50,27 (52.9),15 (29.7),12 (23.5),,20 (39.2),7 (13.7),,2 (3.9),1 (2),6 (11.8),18 (35.3),
Metastasis,,,,,,,,,,,,
Yes,31 (60.8),20 (39.2),11 (21.6),0.039,26 (51),5 (9.8),0.001,3 (5.9),1 (2),4 (7.8),23 (45.1),0.023
No,20 (39.2),7 (13.7),13 (25.5),,8 (15.7),12 (23.5),,0 (0),3 (5.9),8 (15.7),9 (17.6),
TILS,,,,,,,,,,,,
<5%,11 (21.6),9 (17.6),2 (3.9),0.046,9 (17.6),2 (3.9),0.242,2 (3.9),4 (7.8),4 (7.8),1 (2),<0.001
5-10%,18 (35.3),10 (19.6),8 (15.7),,13 (25.5),5 (9.8),,1 (2),0 (0),7 (13.7),10 (19.6),
>10%,22 (43.1),8 (15.7),14 (27.5),,12 (23.5),10 (19.6),,0 (0),0 (0),1 (2),21 (41.2),
