Agent,MOA,Fc isotype,RBC binding,NCT#,Phase,Indications,Current status
Hu5F9,mAb targeting CD47,IgG4,Yes,NCT03248479,I,Hematological malignancies,Terminated
Hu5F9,mAb targeting CD47,IgG4,Yes,NCT05835011,II,MDS,Terminated
Hu5F9,mAb targeting CD47,IgG4,Yes,NCT04313881,III,MDS,Terminated
Hu5F9,mAb targeting CD47,IgG4,Yes,NCT05079230,III,AML,Terminated
Hu5F9,mAb targeting CD47,IgG4,Yes,NCT04778397,III,TP53 mutant untreated AML,Terminated
TTI-621,WT SIRPa-Fc fusion protein,IgG1,No,NCT02663518,I,Hematologic malignancies solid tumor,Terminated
TTI-621,WT SIRPa-Fc fusion protein,IgG1,No,NCT02890368,I,R/R solid tumors and mycosis fungoides,Terminated
TTI-621,WT SIRPa-Fc fusion protein,IgG1,No,NCT04996004,II,Leiomyosarcoma,Terminated
TTI-622,WT SIRPa-Fc fusion protein,IgG4,No,NCT05261490,I II,Ovarian cancer,Terminated
CC-90002,mAb targeting CD47,IgG4,Yes,NCT02641002,I,AML and high-risk MDS,Terminated
SHR1603,mAb targeting CD47,IgG4,Yes,N/A,N/A,Hematologic malignancies solid tumor,Terminated
AO-176,mAb targeting CD47,IgG2,Yes,NCT03834948,I/II,Solid tumor,Terminated
AO-176,mAb targeting CD47,IgG2,Yes,NCT04445701,I/II,R/R MM,Terminated
IBI188,mAb targeting CD47,IgG4,Yes,NCT04861948,I,Solid tumors,Terminated
TJC4,mAb targeting CD47,IgG4,Minimal,NCT04895410,I,MM,Terminated
TJC4,mAb targeting CD47,IgG4,Minimal,NCT04912063,I,AML and MDS,Terminated
Gentulizumab,mAb targeting CD47,IgG1,Minimal,NCT05221385,I,Advanced solid tumor and NHL,Terminated
